Abietaceae Gray	Nat. Arr. Brit. Pl. 2: 222, 223. 10 Jan 1822	nom. cons.
Abolbodaceae Nakai	Chosakuronbun Mokuroku [Ord. Fam. Trib. Nov.]: 221. 20 Jul 1943.	
Abrophyllaceae Nakai	Chosakuronbun Mokuroku [Ord. Fam. Trib. Nov.]: 243. 20 Jul 1943.	
Acaciaceae E. Mey.	Comm. Pl. Afr. Austr. 1: 164. 14 Feb-5 Jun 1836.	
Acalyphaceae Juss. ex Menge	Cat. Pl. Grudent. Gedan.: 172. 1839.	
Acanthaceae Juss.	Gen. Pl.: 102. 4 Aug 1789	nom. cons.
Acanthochlamydaceae P. C. Kao	in Acta Bot. Sichuan 2: 1. Mar 1989.	
Acarnaceae Link	Handbuch 1: 684. 4-11 Jul 1829.	
Aceraceae Juss.	Gen. Pl.: 250. 4 Aug 1789	nom. cons.
Achariaceae Harms	in H. G. A. Engler & K. A. E. Prantl, Nat. Pflanzenfam. Nachtr. 1: 256. Oct 1897	nom. cons.
Achatocarpaceae Heimerl	in H. G. A. Engler & K. A. E. Prantl, Nat. Pflanzenfam., ed. 2, 16c: 174. Jan-Apr 1934	nom. cons.
Achradaceae Vest	Anleit. Stud. Bot.: 273, 299. 1818.	
Achyranthaceae Raf.	Fl. Tellur. 3: 35. Nov-Dec 1837.	
Acmopylaceae Melikian & A. V. Bobrov	in Proc. Intern. Conf. Plant Anat. Morph. (St.-Petersburg) 1997: 93. 25 Mai 1997.	
Aconitaceae Bercht. & J. Presl	Přir. Rostlin: 216. Jan-Apr 1820.	
Acoraceae Martinov	Tekhno-Bot. Slovar: 6. 3 Aug 1820.	
Acristaceae O. F. Cook	in Contr. U.S. Natl. Herb. 16: 252. 14 Mai 1913.	
Acrostichaceae Mett. ex A. B. Frank	in J. Leunis, Syn. Pflanzenk., ed. 2, 3: 1453, 1458. 1874.	
Actaeaceae Bercht. & J. Presl	Přir. Rostlin 1(16*-53): 2, 140. 1823.	
Actinidiaceae Gilg & Werderm.	in H. G. A. Engler & K. A. E. Prantl, Nat. Pflanzenfam., ed. 2, 21: 36. 1925	nom. cons.
Actiniopteridaceae Pic. Serm.	in Webbia 17: 5. 31 Aug 1962.	
Actinostrobaceae Lotsy	Vortr. Bot. Stammesgesch. 3: 98, 141. 3-20 Sep 1911.	
Actinotaceae Konstant. & Melikjan	in Bot. Zhurn. (Moscow & Leningrad) 90: 1763. Dec 2005.	
Adenogrammaceae Nakai	in J. Jap. Bot. 18: 101. 10 Mar 1942.	
Adiantaceae Newman	Hist. Brit. Ferns: 5. 1-5 Feb 1840	nom. cons.
Adoxaceae E. Mey.	Preuss. Pfl.-Gatt.: 198. 1839	nom. cons.
Aegialitidaceae Lincz.	in Novosti Sist. Vyssik Rast. 1968: 173. 18 Dec 1968.	
Aegicerataceae Blume	Nov. Pl. Expos.: 17. Aug-Dec 1833.	
Aegilopaceae Martinov	Tekhno-Bot. Slovar: 221. 3 Aug 1820.	
Aeginetiaceae Livera	in Ann. Roy. Bot. Gard. (Peradeniya) 10: 153. 31 Mai 1927.	
Aegiphilaceae Raf.	Sylva Tellur.: 161. Oct-Dec 1838.	
Aesculaceae Burnett	Outl. Bot.: 891, 1093, 1126. Feb 1835.	
Aextoxicaceae Engl. & Gilg	Syllabus, ed. 8: 250. Jan-Feb 1920	nom. cons.
Agapanthaceae F. Voigt	Gesch. Pflanzen-Reichs 2: 440. 1850.	
Agavaceae Dumort.	Anal. Fam. Pl.: 57, 58. 1829	nom. cons.
Agdestidaceae Nakai	in J. Jap. Bot. 18: 104. 10 Mar 1942.	
Agrimoniaceae Gray	Nat. Arr. Brit. Pl. 2: 395, 574. 10 Jan 1822.	
Agrostidaceae Bercht. & J. Presl	Přir. Rostlin: 264. Jan-Apr 1820.	
Ailanthaceae J. Agardh	Theoria Syst. Pl.: 223. Apr-Sep 1858.	
Aizoaceae Martinov	Tekhno-Bot. Slovar: 15. 3 Aug 1820	nom. cons.
Ajugaceae Döll	Rhein. Fl.: 375. 24-27 Mai 1843.	
Akaniaceae Stapf	in Bull. Misc. Inform. 1912: 380. 13 Dec 1912	nom. cons.
Alangiaceae DC.	Prodr. 3: 203. med. Mar 1828	nom. cons.
Alchemillaceae Martinov	Tekhno-Bot. Slovar: 17. 3 Aug 1820.	
Aldrovandaceae Nakai	in J. Jap. Bot. 24: 10. Dec 1949.	
Alismataceae Vent.	Tabl. Règne Vég. 2: 157. 5 Mai 1799	nom. cons.
Alliaceae Borkh.	Bot. Wörterb. 1: 15. 1797	nom. cons.
Allioniaceae Horan.	Prim. Lin. Syst. Nat.: 68. 2 Nov 1834.	
Allophylaceae Martinov	Tekhno-Bot. Slovar: 19. 3 Aug 1820.	
Aloaceae Batsch	Tab. Affin. Regni Veg.: 138. 2 Mai 1802.	
Alopecuraceae Martinov	Tekhno-Bot. Slovar: 19. 3 Aug 1820.	
Alpiniaceae Link	Enum. Hort. Berol. Alt. 1: 2. 16 Mar-30 Jun 1821.	
Alseuosmiaceae Airy Shaw	in Kew Bull. 18: 249. 8 Dec 1965.	
Alsinaceae Bartl.	in F. G. Bartling & H. L. Wendland, Beitr. Bot. 2: 159. Dec 1825	nom. cons.
Alsodeiaceae J. Agardh	Theoria Syst. Pl.: 197. Apr-Sep 1858.	
